StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Passed
2,70,5,60,3,No,Yes,0
3,75,6,65,4,Yes,No,0
4,80,6,70,5,Yes,Yes,0
5,85,7,75,6,Yes,No,1
6,88,7,80,7,Yes,Yes,1
7,90,8,85,8,Yes,No,1
8,95,8,90,9,Yes,Yes,1
9,98,8,95,10,Yes,No,1
1,65,5,55,2,No,No,0
2,68,6,58,3,No,Yes,0
3,72,6,63,4,Yes,No,0
4,78,7,68,5,Yes,Yes,0
5,82,7,72,6,Yes,No,1
6,86,7,78,7,Yes,Yes,1
7,91,8,84,8,Yes,No,1
8,94,8,89,9,Yes,Yes,1
9,97,8,94,10,Yes,No,1
3,74,6,66,4,No,Yes,0
5,87,7,79,7,Yes,Yes,1
6,89,7,81,8,Yes,No,1
4,,6,69,5,Yes,Yes,0
7,93,,86,9,Yes,No,1
5,84,7,,6,Yes,Yes,1
2,69,5,57,,No,No,0
8,96,8,91,10,,Yes,1
6,88,7,80,7,Yes,,1
3,73,6,64,4,No,Yes,0
1,60,5,52,2,No,No,0
9,99,8,97,10,Yes,Yes,1
5,83,7,74,6,Yes,No,1
