StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Passed
2,70,5,60,3,No,Yes,0
3,75,6,65,4,Yes,No,0
4,80,6,70,5,Yes,Yes,0
5,85,7,75,6,Yes,No,1
6,88,7,80,7,Yes,Yes,1
7,90,8,85,8,Yes,No,1
8,95,8,90,9,Yes,Yes,1
9,98,8,95,10,Yes,No,1
1,65,5,55,2,No,No,0
2,68,6,58,3,No,Yes,0
3,72,6,63,4,Yes,No,0
4,78,7,68,5,Yes,Yes,0
5,82,7,72,6,Yes,No,1
6,86,7,78,7,Yes,Yes,1
7,91,8,84,8,Yes,No,1
8,94,8,89,9,Yes,Yes,1
9,97,8,94,10,Yes,No,1
3,74,6,66,4,No,Yes,0
5,87,7,79,7,Yes,Yes,1
6,89,7,81,8,Yes,No,1
4,,6,69,5,Yes,Yes,0
7,93,,86,9,Yes,No,1
5,84,7,,6,Yes,Yes,1
2,69,5,57,,No,No,0
8,96,8,91,10,,Yes,1
6,88,7,80,7,Yes,,1
3,73,6,64,4,No,Yes,0
1,60,5,52,2,No,No,0
9,99,8,97,10,Yes,Yes,1
5,83,7,74,6,Yes,No,1
2,90,6,57,11,Yes,Yes,1
5,65,5,72,5,No,No,1
4,68,5,61,9,Yes,Yes,1
1,88,9,50,12,Yes,Yes,1
8,100,8,81,10,No,No,1
10,75,9,81,3,Yes,No,1
6,89,9,67,9,Yes,Yes,1
3,75,6,85,8,No,No,1
9,68,7,75,11,Yes,No,1
4,68,8,73,8,No,Yes,1
7,76,6,99,2,No,No,1
6,68,4,72,7,Yes,Yes,1
10,91,7,59,4,No,No,1
9,61,6,96,11,No,No,1
3,91,9,52,10,No,Yes,1
2,77,5,87,2,Yes,No,1
8,81,9,80,9,Yes,No,1
6,73,6,62,7,No,No,1
7,64,4,83,7,Yes,No,1
5,66,7,96,5,Yes,Yes,1
10,97,9,64,3,No,Yes,1
4,82,8,58,4,Yes,No,1
10,91,4,78,3,No,Yes,1
3,95,6,87,8,Yes,Yes,1
9,62,7,57,1,Yes,Yes,1
7,72,8,77,7,No,No,1
10,83,10,94,7,Yes,No,1
1,82,5,61,6,No,No,1
9,69,6,68,11,Yes,No,1
8,98,4,70,11,Yes,Yes,1
4,99,9,65,7,No,No,1
6,91,7,73,10,Yes,Yes,1
2,78,8,72,5,No,No,1
6,71,4,91,1,No,No,1
10,68,8,96,11,Yes,Yes,1
8,97,9,71,2,No,Yes,1
7,85,7,82,6,Yes,No,1
5,87,5,71,10,Yes,Yes,1
2,60,10,97,10,No,Yes,1
7,75,9,98,3,No,Yes,1
4,65,9,78,9,Yes,Yes,1
8,69,5,97,11,Yes,No,1
5,77,8,67,4,No,No,1
10,88,9,70,6,No,Yes,1
4,97,7,66,7,Yes,No,1
2,85,5,57,7,No,No,1
9,88,6,71,3,Yes,Yes,1
7,76,5,97,12,No,No,1
6,63,5,72,11,Yes,No,1
10,67,7,59,9,Yes,Yes,1
1,78,5,95,8,No,Yes,1
3,69,8,73,2,No,No,1
7,68,9,67,7,Yes,Yes,1
9,87,8,98,3,No,No,1
2,95,6,61,12,Yes,No,1
8,72,8,73,9,Yes,No,1
4,75,6,88,5,No,No,1
6,78,5,64,3,Yes,Yes,1
10,88,9,79,9,No,Yes,1
1,61,7,96,9,Yes,Yes,1
7,99,8,55,6,Yes,No,1
5,82,8,85,12,No,No,1
9,97,6,97,10,Yes,Yes,1
2,71,7,61,4,No,Yes,1
10,75,6,66,3,Yes,No,1
4,84,8,99,9,Yes,Yes,1
8,69,7,61,6,No,No,1
3,78,9,84,11,Yes,No,1
6,64,6,69,3,No,No,1
9,77,7,73,2,Yes,Yes,1
1,82,11,99,4,No,Yes,1
10,93,7,67,8,Yes,No,1
5,68,5,81,6,No,No,1
7,91,9,53,1,Yes,No,1
2,62,7,72,10,No,Yes,1
8,74,6,65,8,Yes,Yes,1
4,76,10,75,7,No,No,1
10,82,6,78,4,Yes,No,1
6,97,9,98,5,No,No,1
1,84,6,63,11,Yes,Yes,1
9,71,5,87,10,No,Yes,1
3,80,7,78,4,Yes,No,1
7,67,7,61,12,No,No,1
5,64,8,94,5,Yes,No,1
10,100,8,72,10,No,No,1
2,73,9,76,5,Yes,Yes,1
8,95,7,60,7,Yes,No,1
4,88,6,79,4,No,Yes,1
6,99,11,52,11,No,No,1
10,61,6,100,1,Yes,Yes,1
1,76,6,70,5,No,No,1
7,89,7,95,2,Yes,No,1
5,95,5,68,8,No,Yes,1
9,63,8,72,11,Yes,No,1
3,66,9,56,11,Yes,Yes,1
8,83,4,92,11,No,No,1
2,88,10,79,3,Yes,Yes,1
4,72,6,82,9,No,Yes,1
10,79,7,63,10,Yes,No,1
6,79,9,97,2,No,No,1
10,62,7,74,8,Yes,Yes,1
1,94,6,98,3,No,No,1
7,92,8,86,12,Yes,No,1
5,71,5,63,5,No,Yes,1
9,87,9,50,9,Yes,No,1
3,84,7,70,9,No,No,1
8,77,5,65,12,Yes,Yes,1
2,80,10,99,4,No,Yes,1
4,92,7,54,6,Yes,No,1
10,85,11,82,3,Yes,Yes,1
6,65,6,68,6,No,No,1
10,98,8,72,1,No,Yes,1
1,73,9,65,7,Yes,Yes,1
7,90,6,87,5,No,No,1
5,88,10,94,8,No,Yes,1
9,66,7,55,4,Yes,No,1
2,68,7,61,3,No,No,1
8,74,5,92,11,Yes,No,1
4,98,8,78,4,No,Yes,1
10,60,8,58,2,Yes,Yes,1
10,92,8,69,8,Yes,No,1
1,93,8,70,6,No,No,1
7,67,9,74,1,Yes,No,1
6,85,8,88,8,No,Yes,1
3,79,8,62,5,Yes,Yes,1
10,75,6,53,12,No,No,1
5,62,6,66,11,Yes,No,1
8,80,7,59,10,No,No,1
1,89,4,97,7,Yes,Yes,1
9,78,6,63,1,Yes,No,1
4,69,10,83,5,No,Yes,1
10,59,7,78,11,Yes,No,1
3,88,10,97,8,No,No,1
6,72,7,73,8,Yes,Yes,1
2,95,7,82,6,No,Yes,1
10,80,11,94,6,Yes,No,1
7,61,8,67,5,No,No,1
10,79,6,69,2,Yes,Yes,1
4,84,8,82,10,No,No,1
8,67,9,99,12,Yes,No,1
1,74,5,62,3,No,Yes,1
9,93,7,78,9,Yes,No,1
5,97,7,55,3,No,No,1
2,91,6,98,9,Yes,Yes,1
10,65,9,54,11,No,Yes,1
6,89,7,77,12,Yes,No,1
3,62,6,94,3,No,No,1
10,72,7,79,10,Yes,No,1
7,83,5,62,5,No,Yes,1
10,87,10,89,6,Yes,Yes,1
1,66,8,55,11,No,No,1
8,94,8,85,3,Yes,No,1
4,77,6,76,2,No,Yes,1
6,67,5,52,8,Yes,No,1
10,99,10,67,1,No,No,1
5,64,8,98,12,Yes,No,1
9,79,7,81,5,No,Yes,1
2,78,8,72,7,Yes,Yes,1
8,73,5,87,8,No,No,1
4,60,7,75,10,Yes,No,1
10,70,6,60,5,No,Yes,1
7,98,10,50,1,Yes,No,1
10,86,6,82,7,No,No,1
10,90,11,95,4,Yes,No,1
1,68,7,95,11,No,Yes,1
6,75,7,73,9,Yes,Yes,1
3,82,7,95,1,No,Yes,1
9,92,9,70,3,Yes,No,1
5,90,6,57,11,No,No,1
10,69,8,58,6,Yes,Yes,1
2,85,6,88,2,No,Yes,1
8,88,8,71,4,Yes,No,1
4,93,6,64,8,No,No,1
10,76,7,86,1,Yes,No,1
7,71,6,79,3,No,Yes,1
3,87,6,67,12,Yes,No,1
10,95,9,62,4,No,No,1
5,77,9,97,7,Yes,Yes,1
1,84,6,84,2,No,Yes,1
9,69,7,85,7,Yes,No,1
10,55,8,50,12,Yes,No,1
6,91,8,94,1,No,No,1
2,64,8,88,9,Yes,Yes,1
8,75,10,98,5,No,Yes,1
4,80,7,72,11,Yes,No,1
7,96,9,60,7,Yes,No,1
9,74,10,64,8,No,No,1
10,78,8,76,4,Yes,Yes,1
10,82,7,66,9,No,No,1
10,90,7,71,3,Yes,No,1
10,68,7,82,8,No,Yes,1
3,70,9,77,5,Yes,No,1
6,95,10,70,10,No,No,1
10,96,9,87,4,Yes,No,1
10,72,8,97,8,No,Yes,1
10,65,7,54,6,Yes,Yes,1
10,89,9,73,6,No,No,1
7,79,10,55,1,Yes,No,1
10,94,9,85,8,No,Yes,1
10,85,7,65,9,Yes,Yes,1
10,74,8,78,7,No,No,1
