StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Performance
2,65,5,58,2,No,No,Poor
3,68,6,60,3,No,No,Poor
4,70,6,63,4,Yes,No,Poor
2,72,5,55,2,No,Yes,Poor
3,67,5,61,3,No,No,Poor
5,74,6,64,5,Yes,No,Average
4,76,6,66,4,Yes,Yes,Average
5,78,7,69,5,Yes,No,Average
6,80,7,70,6,Yes,Yes,Average
5,82,6,72,6,Yes,No,Average
6,84,7,74,7,Yes,Yes,Average
7,85,7,76,7,Yes,No,Good
7,86,8,78,8,Yes,Yes,Good
8,88,8,80,8,Yes,No,Good
8,90,7,82,9,Yes,Yes,Good
9,91,8,84,9,Yes,Yes,Good
9,92,8,86,10,Yes,No,Good
10,94,8,88,10,Yes,Yes,Excellent
10,95,8,90,10,Yes,Yes,Excellent
11,96,8,92,10,Yes,Yes,Excellent
11,97,9,94,10,Yes,Yes,Excellent
12,98,9,96,10,Yes,Yes,Excellent
12,99,9,98,10,Yes,Yes,Excellent
3,69,6,62,3,No,Yes,Poor
4,73,6,65,4,Yes,No,Average
6,83,7,75,6,Yes,No,Average
7,87,8,79,8,Yes,Yes,Good
9,93,8,87,9,Yes,No,Good
11,97,9,95,10,Yes,Yes,Excellent
8,89,8,81,8,Yes,No,Good
1,62,4,52,1,No,No,Poor
2,65,5,55,2,No,No,Poor
2,67,5,57,2,No,No,Poor
3,68,5,59,3,No,No,Poor
3,70,5,61,3,No,Yes,Poor
4,71,6,63,4,No,No,Poor
4,73,6,65,4,Yes,No,Average
5,75,6,67,5,Yes,No,Average
5,77,6,70,5,Yes,Yes,Average
6,79,7,72,6,Yes,No,Average
6,81,7,74,6,Yes,Yes,Average
7,83,7,76,7,Yes,No,Good
7,85,7,78,7,Yes,Yes,Good
8,87,8,80,8,Yes,No,Good
8,89,8,82,8,Yes,No,Good
9,91,8,85,9,Yes,No,Good
9,93,8,87,9,Yes,Yes,Good
10,95,8,89,10,Yes,Yes,Excellent
10,96,9,91,10,Yes,Yes,Excellent
11,97,9,93,10,Yes,Yes,Excellent
11,98,9,95,10,Yes,Yes,Excellent
12,99,9,97,10,Yes,Yes,Excellent
1,60,4,50,1,No,No,Poor
2,63,5,53,2,No,No,Poor
3,66,5,56,3,No,No,Poor
4,69,6,59,4,No,No,Average
4,71,6,62,4,Yes,No,Average
5,73,6,65,5,Yes,No,Average
5,75,6,68,5,Yes,No,Average
6,77,7,70,6,Yes,Yes,Average
6,79,7,73,6,Yes,Yes,Good
7,81,7,75,7,Yes,No,Good
7,83,7,77,7,Yes,Yes,Good
8,85,8,79,8,Yes,No,Good
8,87,8,81,8,Yes,No,Good
9,89,8,83,9,Yes,Yes,Good
9,91,8,85,9,Yes,Yes,Excellent
10,93,8,87,10,Yes,Yes,Excellent
10,95,9,89,10,Yes,Yes,Excellent
11,96,9,91,10,Yes,Yes,Excellent
12,98,9,93,10,Yes,Yes,Excellent
1,64,4,54,1,No,No,Poor
2,67,5,57,2,No,No,Poor
3,70,5,60,3,No,No,Poor
4,72,6,62,4,Yes,No,Poor
4,74,6,64,4,Yes,No,Average
5,76,6,67,5,Yes,No,Average
5,78,6,70,5,Yes,Yes,Average
6,80,7,72,6,Yes,No,Average
6,82,7,75,6,Yes,No,Good
7,84,7,77,7,Yes,No,Good
7,86,7,79,7,Yes,Yes,Good
8,88,8,81,8,Yes,No,Good
8,90,8,83,8,Yes,No,Good
9,92,8,85,9,Yes,Yes,Good
9,94,9,87,9,Yes,Yes,Good
10,96,9,90,10,Yes,Yes,Excellent
10,97,9,92,10,Yes,Yes,Excellent
11,98,9,94,10,Yes,Yes,Excellent
12,100,9,96,10,Yes,Yes,Excellent
2,66,5,56,2,No,No,Poor
3,69,5,59,3,No,No,Poor
4,71,6,61,4,No,No,Poor
5,73,6,63,5,No,No,Average
5,75,6,66,5,Yes,No,Average
6,77,7,68,6,Yes,No,Average
6,79,7,71,6,Yes,Yes,Good
7,81,7,73,7,Yes,No,Good
7,83,7,76,7,Yes,Yes,Good
8,85,8,78,8,Yes,No,Good
8,87,8,80,8,Yes,No,Good
9,89,8,82,9,Yes,Yes,Good
9,91,8,85,9,Yes,Yes,Excellent
10,93,8,87,10,Yes,Yes,Excellent
10,95,9,89,10,Yes,Yes,Excellent
11,96,9,91,10,Yes,Yes,Excellent
12,99,9,94,10,Yes,Yes,Excellent
1,63,4,51,1,No,No,Poor
2,66,5,54,2,No,No,Poor
3,68,5,57,3,No,No,Poor
4,70,6,60,4,No,No,Average
4,72,6,62,4,Yes,No,Average
5,74,6,65,5,Yes,No,Average
5,76,6,68,5,Yes,No,Average
6,78,7,70,6,Yes,Yes,Good
6,80,7,73,6,Yes,Yes,Good
7,82,7,75,7,Yes,No,Good
7,84,7,77,7,Yes,Yes,Good
8,86,8,79,8,Yes,No,Good
8,88,8,81,8,Yes,No,Good
9,90,8,83,9,Yes,Yes,Excellent
9,92,8,86,9,Yes,Yes,Excellent
10,94,8,88,10,Yes,Yes,Excellent
11,96,9,90,10,Yes,Yes,Excellent
11,98,9,92,10,Yes,Yes,Excellent
1,61,4,50,1,No,No,Poor
2,64,5,53,2,No,No,Poor
3,67,5,56,3,No,No,Poor
4,69,6,58,4,No,No,Average
4,71,6,61,4,Yes,No,Average
5,73,6,63,5,Yes,No,Average
5,75,6,66,5,Yes,Yes,Average
6,77,7,68,6,Yes,No,Good
6,79,7,71,6,Yes,Yes,Good
7,81,7,73,7,Yes,No,Good
